mortgageInterestRate,propertyValueYearlyIncrease,delta
0.17,-0.01,-138242.54846044671180340795260
0.17,0.00,-125009.86193344671180340795260
0.17,0.01,-111237.14840644671180340795260
0.17,0.02,-96908.04506944671180340795260
0.17,0.03,-82005.86187244671180340795260
0.17,0.04,-66513.57828544671180340795260
0.17,0.05,-50413.84005844671180340795260
0.17,0.06,-33688.95598144671180340795260
0.17,0.07,-16320.89464444671180340795260
0.17,0.08,1708.71880255328819659204740
0.17,0.09,20418.60588955328819659204740
0.17,0.10,39827.83806655328819659204740
0.17,0.11,59955.83994355328819659204740
0.17,0.12,80822.39253055328819659204740
0.17,0.13,102447.63647755328819659204740
0.17,0.14,124852.07531455328819659204740
0.17,0.15,148056.57869155328819659204740
0.18,-0.15,-288043.32877359213039404895566
0.18,-0.14,-280828.46839659213039404895566
0.18,-0.13,-273270.11455959213039404895566
0.18,-0.12,-265356.14561259213039404895566
0.18,-0.11,-257074.15802559213039404895566
0.18,-0.10,-248411.46314859213039404895566
0.18,-0.09,-239355.08397159213039404895566
0.18,-0.08,-229891.75188459213039404895566
0.18,-0.07,-220007.90343759213039404895566
0.18,-0.06,-209689.67710059213039404895566
0.18,-0.05,-198922.91002359213039404895566
0.18,-0.04,-187693.13479659213039404895566
0.18,-0.03,-175985.57620959213039404895566
0.18,-0.02,-163785.14801259213039404895566
0.18,-0.01,-151076.44967559213039404895566
0.18,0.00,-137843.76314859213039404895566
0.18,0.01,-124071.04962159213039404895566
0.18,0.02,-109741.94628459213039404895566
0.18,0.03,-94839.76308759213039404895566
0.18,0.04,-79347.47950059213039404895566
0.18,0.05,-63247.74127359213039404895566
0.18,0.06,-46522.85719659213039404895566
0.18,0.07,-29154.79585959213039404895566
0.18,0.08,-11125.18241259213039404895566
0.18,0.09,7584.70467440786960595104434
0.18,0.10,26993.93685140786960595104434
0.18,0.11,47121.93872840786960595104434
0.18,0.12,67988.49131540786960595104434
0.18,0.13,89613.73526240786960595104434
0.18,0.14,112018.17409940786960595104434
0.18,0.15,135222.67747640786960595104434
0.19,-0.15,-300872.87602580195735206589381
0.19,-0.14,-293658.01564880195735206589381
0.19,-0.13,-286099.66181180195735206589381
0.19,-0.12,-278185.69286480195735206589381
0.19,-0.11,-269903.70527780195735206589381
0.19,-0.10,-261241.01040080195735206589381
0.19,-0.09,-252184.63122380195735206589381
0.19,-0.08,-242721.29913680195735206589381
0.19,-0.07,-232837.45068980195735206589381
0.19,-0.06,-222519.22435280195735206589381
0.19,-0.05,-211752.45727580195735206589381
0.19,-0.04,-200522.68204880195735206589381
0.19,-0.03,-188815.12346180195735206589381
0.19,-0.02,-176614.69526480195735206589381
0.19,-0.01,-163905.99692780195735206589381
0.19,0.00,-150673.31040080195735206589381
0.19,0.01,-136900.59687380195735206589381
0.19,0.02,-122571.49353680195735206589381
0.19,0.03,-107669.31033980195735206589381
0.19,0.04,-92177.02675280195735206589381
0.19,0.05,-76077.28852580195735206589381
0.19,0.06,-59352.40444880195735206589381
0.19,0.07,-41984.34311180195735206589381
0.19,0.08,-23954.72966480195735206589381
0.19,0.09,-5244.84257780195735206589381
0.19,0.10,14164.38959919804264793410619
0.19,0.11,34292.39147619804264793410619
0.19,0.12,55158.94406319804264793410619
0.19,0.13,76784.18801019804264793410619
0.19,0.14,99188.62684719804264793410619
0.19,0.15,122393.13022419804264793410619
0.20,-0.15,-313696.07383644673904674688565
0.20,-0.14,-306481.21345944673904674688565
0.20,-0.13,-298922.85962244673904674688565
0.20,-0.12,-291008.89067544673904674688565
0.20,-0.11,-282726.90308844673904674688565
0.20,-0.10,-274064.20821144673904674688565
0.20,-0.09,-265007.82903444673904674688565
0.20,-0.08,-255544.49694744673904674688565
0.20,-0.07,-245660.64850044673904674688565
0.20,-0.06,-235342.42216344673904674688565
0.20,-0.05,-224575.65508644673904674688565
0.20,-0.04,-213345.87985944673904674688565
0.20,-0.03,-201638.32127244673904674688565
0.20,-0.02,-189437.89307544673904674688565
0.20,-0.01,-176729.19473844673904674688565
0.20,0.00,-163496.50821144673904674688565
0.20,0.01,-149723.79468444673904674688565
0.20,0.02,-135394.69134744673904674688565
0.20,0.03,-120492.50815044673904674688565
0.20,0.04,-105000.22456344673904674688565
0.20,0.05,-88900.48633644673904674688565
0.20,0.06,-72175.60225944673904674688565
0.20,0.07,-54807.54092244673904674688565
0.20,0.08,-36777.92747544673904674688565
0.20,0.09,-18068.04038844673904674688565
0.20,0.10,1341.19178855326095325311435
0.20,0.11,21469.19366555326095325311435
0.20,0.12,42335.74625255326095325311435
0.20,0.13,63960.99019955326095325311435
0.20,0.14,86365.42903655326095325311435
0.20,0.15,109569.93241355326095325311435
